제목,지역,소분류,성별,내용
[계양재가노인지원서비스센터]밑반찬 전달 자원봉사자 모집합니다.,인천,계양구,공통,"안녕하세요. 계양재가노인지원서비스센터입니다.본 센터에서는 식생활 사업에 따른 밑반찬 전달 자원봉사자를 모집하려고 합니다.많은 관심과 참여 부탁드리겠습니다.-------------------------------------------------------------------------------일시 : 매월 첫째,둘째,셋째 주 목요일(오후 14시 ~ 18시) (거의 고정된 시간)장소 : 본 센터에서 출발하여 각 담당구역(임학병방, 계산동, 효성동)으로 나뉘어 어르신들 댁 방문기타 문의사항이 있으신 분들은 계양재가노인지원서비스센터로 연락주시기 바랍니다. (업무시간[09:00-18:00] 내 032-556-0005 / 업무시간(18:00~) 외 010-4081-3407)※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)"
[계양재가노인지원서비스센터]밑반찬 전달 봉사자 모집합니다.,인천,계양구,공통,"안녕하세요. 계양재가노인지원서비스센터입니다.본 센터에서는 식생활 사업에 따른 밑반찬 전달 자원봉사자를 모집하려고 합니다.많은 관심과 참여 부탁드리겠습니다.-------------------------------------------------------------------------------일시 : 매월 첫째,둘째,셋째 주 목요일(오후 14시 ~ 18시) (거의 고정된 시간)장소 : 본 센터에서 출발하여 각 담당구역(임학병방, 계산동, 효성동)으로 나뉘어 어르신들 댁 방문기타 문의사항이 있으신 분들은 계양재가노인지원서비스센터로 연락주시기 바랍니다. (업무시간[09:00-18:00] 내 032-556-0005 / 업무시간(18:00~) 외 010-4081-3407)※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)"
[계양재가노인지원서비스센터]밑반찬 전달 자원봉사자 모집,인천,계양구,공통,"안녕하세요. 계양재가노인지원서비스센터입니다.본 센터에서는 식생활 사업에 따른 밑반찬 전달 자원봉사자를 모집하려고 합니다.많은 관심과 참여 부탁드리겠습니다.-------------------------------------------------------------------------------일시 : 매월 첫째,둘째,셋째 주 목요일(오후 14시 ~ 18시) (거의 고정된 시간)장소 : 본 센터에서 출발하여 각 담당구역(임학병방, 계산동, 효성동)으로 나뉘어 어르신들 댁 방문기타 문의사항이 있으신 분들은 계양재가노인지원서비스센터로 연락주시기 바랍니다. (업무시간[09:00-18:00] 내 032-556-0005 / 업무시간(18:00~) 외 010-4081-3407)※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)"
"이동 목욕 봉사, 가사서비스",대전,서구,공통,"이동목욕 자원봉사자 모집이동목욕 차량사업은 대전광역시 서구지역 내 보호자의 도움 없인 목욕을 할 수 없는 거동이 불편한 저소득층 노인, 장애인을 대상으로 최신 목욕시스템을 갖춘 목욕차량이 대상자의 가정을 직접 방문하여, 무료로 목욕을 시켜드리는 사회복지서비스입니다. 이동목욕차량사업에 함께 동참하실 각 기관 및 회사 내 자원봉사단체와 개인 남/여 자원봉사자들을 모집하오니 많은 관심과 참여 부탁드립니다.- 모집분야 : 이동목욕 자원봉사활동(담당 사회복지사 보조역할)- 활동일시 : 월~금요일 13:30~17:30 중 가능한 요일택일(조정가능)- 활동문의 : 042)482-2032 조경옥 사회복지사) * 전화문의 요망- 혜     택 : 자원봉사 활동확인서 발급 (VMS)               우수(모범) 자원봉사자로 포창 추천               다양한 복지관 이벤트(자원봉사자 캠프, 나들이 등) 초청 ※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)"
밑반찬조리봉사,경북,포항시,공통,"1. 봉사일자 : 2019-03-08~2021-12-312. 봉사장소 : 남구 냉천로 234(도가)3. 봉사내용 : 밑반찬조리봉사4. 활동시간 및 요일 : 매주 수요일 오천읍 냉천로 234(도가)에서 조리봉사활동(09:30~11:30) / 월1회, 격주1회, 주1회 등 개인, 단체 모두 환영※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)"
우체국공익재단지원사업 '성장-mentoring' 멘토 모집(활동비 지급),충북,청주시,공통,"<우체국공익재단 지원사업 - 장애가정아동'성장-mentoring' 멘토 모집>저소득 장애인가정의 초등학생 자녀를 대상으로 자기관리능력 향상과 정서적지지 등 부족한 양육환경을 보충해주어 스스로 건강하게 성장할 수 있는 기반을 강화시켜주기 위한 사업■모집인원 : 멘토 5명■활동기간 : 2019년 4월 ~ 11월■봉사대상 : 장애인가정의 초등학생 자녀■활동내용 : 멘티지원 - 멘티건강검진(2회), 학습지도 및 건강관리(26회), 문화체험활동(4회)                  멘토간담회 - 4월, 8월, 10월 예정                  행사참여 - 발대식, 우리두리캠프(1박2일), 종결식■혜택사항 : 멘토활동비 지급(20,000원), 자원봉사활동 시간 인정, 우체국 통장 개설■신청방법 : 충북장애인재활협회 담당 윤진아 043-252-9720[4월부터 11월까지 8개월동안 꾸준히 참석하실 수 있는 분들만 신청부탁드립니다!]※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)"
[하계종합사회복지관] 멘토링 멘토 봉사자 모집 ,서울,노원구,공통,"하계종합사회복지관에서 아동청소년을 대상으로 멘토(학습지도) 봉사자를 모집합니다. 맨토란?- 멘토는 지식을 가진 자로 멘티에게 필요한 내용을 가르치는 선생님의 역할을 합니다.맨티란?- 맨티는 가르치는 선생님에게 배움을 받는 역할을 합니다. ○ 프로그램 개요 - 모집인원: 성인멘토 16명 - 활동기간: 2019. 4. ~ 2019. 12. (9개월) - 활동시간: 주 1회, 1~2시간 (요일 및 시간조정 가능) - 모집기간: 2019. 3. 11.(월) ~ 2019. 3. 29.(금) - 사업내용: 발대식, 인권교육, 멘토교육, 정서·학습지도, 멘토멘티 문화체험, 보호자교육, 평가회○ 멘토 자격요건 및 선발기준  - 청소년 활동에 관심이 있는자  - 20세 이상의 성인으로 성범죄경력 및 아동학대 조회시 결격사유가 없는자  - 멘티의 학습지도가 가능하고 성실하며 책임감 있는 자  - 최소 6개월 이상 수행할 수 있는 자○ 활동혜택  - VMS 봉사활동 실적 인정  - 우수활동팀 시상  - 무엇보다 큰 봉사활동의 보람 및 교육의 기회 제공 많은 관심과 참여 부탁드립니다.※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)"
재가어르신 도시락 배달 자원봉사자 모집,대구,달서구,공통,"*재가어르신 도시락 배달 자원봉사자 모집*상록수노인종합복지센터에서는 경제적, 신체적 이유 등으로 인해식생활에 어려움을 겪고 있는 어르신을 대상으로 도시락을 지원하고 있습니다. 어르신들을 위해 도시락을 포장해주고 배달보조를해주실 봉사자를 모집하고 있습니다.-활동기간 : 매주 월~금 11:00 - 13:00 (주 1회만 정기적으로 참여해도 됨)-활동내용 : 도시락 포장 및 배달, 도시락 설거지, 어르신 안부확인 및 근황파악-신청방법 : VMS 홈페이지 신청 또는 전화신청-문의 : 손다혜 팀장 / 652-6080※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)"
홀몸노인 안부확인 및 밑반찬배달 정기자원봉사자 모집,대구,북구,공통,누리노인복지센터에서 홀몸노인 안부확인 및 밑반찬배달지원 정기 자원봉사자를 모집합니다.- 봉사일시: 매주 화요일 13:00 ~ 15:00 (2시간00분)- 모집대상: 정기자원봉사활동이 가능한 자원봉사자- 모집인원: 2명- 자원봉사내용: 홀몸노인 안부확인 및 밑반찬배달지원* 자원봉사활동 신청 후 전화연락 부탁드립니다. (누리노인복지센터 사회복지사 방선주 353-0388)※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)
[우리동네 이웃사촌] 어른신 모니터링 자원봉사자를 모집합니다.,경기,포천시,공통,"우리동네 이웃사촌은 마을 안의 독거노인과 자원봉사자, 복지관이 한 그룹이 되어 월1회 복지관 프로그램 이용 및정기적인 모니터링을 통하여 독거노인의 사회 안전망을 형성하고 더 나아가 독거노인-자원봉사자 형태의 능동적인 정서적 지지망을 구축하기 위한 프로그램입니다. *봉사일정: 2019년 3월~12월 주1회*봉사내용:              1. 월 1회 복지관 프로그램 이용 시 송영 및 활동 참여              2. 주 1회 정기 모니터링              3. 상/하반기 간담회 참여*자격요건: 운전면허 소지 및 운전가능한 분*봉사혜택: 1. 자원봉사 실적 입력              2. 연말 우수자원봉사자 시상 및 소정의 선물 증정*활동지역: 1. 내촌/가산면              2. 운천              3. 일동면              4. 송우리*문의 및 신청: 임보라 사회복지사 070-8798-4132※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)"
밑반찬서비스 배달보조봉사,부산,연제구,공통,1. 봉사일자 : 2019-03-06~2019-12-312. 봉사장소 : 연제구 일대3. 봉사시간 : 11시부터 13시까지4. 봉사내용 : 밑반찬서비스 배달봉사- 운전 필요없이 배달보조해주실 자원봉사자- 남녀노소 하실수 있는 간단한 봉사입니다. ※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)
배달강좌프로그램 '행복배달부'  프로그램보조,부산,연제구,공통,1. 봉사일자 : 2019-03-18~2019-12-312. 봉사장소 : 연제구 일대 재가어르신댁3. 봉사내용 : 배달강좌프로그램 '행복배달부' 프로그램보조- 시간조절가능합니다.※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)
꿈의집지역아동센터 자원봉사 모집 ,경기,군포시,공통," 꿈의집 지역아동센터에서 함께할 자원봉사자를 모집하고 있습니다.1. 활동 기간 : 2019년 3월 ~ 2019년 12월 31일   희망 시간 :  15:00~19:00(주 1회 이상 활동, 평일(월~금요일 중 하루) / 요일 및 시간 조정 가능)2. 센터 위치 : 경기도 군포시 군포로 789. 2층                (군포시 산본동 75-61번지)3. 문의- 담당자 : 김송이* 접수 후 센터로 전화 (031-399-0931) 부탁드립니다. *** ※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)"
저소득 어르신 말벗지원 서비스 '우리는 이웃일촌',서울,성동구,공통,[우리는 이웃일촌] 봉사자 모집1. 활동명 : 우리는 이웃일촌 ‘호호이웃’2. 기 간 : 1년 단위로 장기 봉사자 우대3. 내 용 : 성동구 지역 내 외로움을 겪고 있는 독거 어르신 말벗 지원 서비스청소년의 경우 2인 1조로 운영되며 가족분들의 참여도 가능합니다.어르신과 자유롭게 전화 및 방문일정 조율하여 1년 간 말벗활동 활동 진행됩니다.웃음 가득한 우리 마을이 될 수 있도록 많은 관심과 참여 부탁드립니다^_^문의전화 이소영 사회복지사02-2282-1100※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)
재가 방문 봉사자 모집,제주,제주시,공통,"1. 봉사일자 : 연중(수시)2. 봉사장소 : 재가장애인 가정 등3. 봉사내용  - 이동목욕서비스 자원봉사   - 우리복지관내 수중재활운동센터 남자 이용시설 목욕봉사  - 재가방문 자원봉사: 간병, 이미용, 식사, 말벗 등4. 모집대상 : 재가방문 봉사가 가능한 자원봉사자5. 활동방법 : 기간, 일정, 시간 등 담당자와 논의후 진행6. 기타사항 : 그외 문의사항은 담당자에게 문의 바람※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)"
★독거노인 일상생활지원 자원봉사자 모집,부산,해운대구,여,"* 지역 내 독거 어르신의 일상생활 보조 및 간단한 청소를 도와줄 자원봉사자를 모집합니다- 내      용 : 정리정돈 및 청소, 일상생활(식사준비 등) 보조- 자격조건 : 매주 토요일 오전에 정기적 자원봉사가 가능하신 분- 활동 혜택 : 봉사시간 제공- 문의 사항은 복지관으로 연락 주시면 됩니다.※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)"
독거어르신 도배 해드기,전남,무안군,공통,1. 봉사일자 : 2019-05-01~2019-11-302. 봉사장소 : 독거어르신 댁3. 봉사내용 : 독거어르신 도배 해드기※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)
